overall,potential,age,league_id,league_name,club_team_id,club_name,value_eur,nationality_id,nationality_name,preferred_foot,club_jersey_number,Goalkeeper,Defense,Midfield,Attack
-0.7069057619722823,1.0966305654052335,18,19,Bundesliga,36,VfB Stuttgart,1500000,51,Serbia,0,45,0,0,1,1
0.21445610560126124,0.7811920402792583,21,19,Bundesliga,1824,Eintracht Frankfurt,3900000,47,Switzerland,1,5,0,1,0,0
-1.1017751337895152,0.15031499002730783,19,68,Süper Lig,101026,Göztepe SK,775000,164,Jordan,1,7,0,0,0,1
-0.44365951409412696,0.46575351515328306,20,80,Bundesliga,209,SK Sturm Graz,1900000,72,Costa Rica,1,2,0,1,0,0
-1.891513877423981,0.6234727777162706,17,4,Pro League,230,Royal Antwerp FC,400000,129,Morocco,1,43,0,0,1,0
-1.1017751337895152,-1.7423161607285433,26,350,Pro League,131798,NEOM SC,400000,183,Saudi Arabia,0,25,0,1,1,0
0.0828329816621836,-0.7960005853506178,35,4,Pro League,674,KAA Gent,425000,51,Serbia,1,13,0,1,0,0
-0.8385288859113599,0.15031499002730783,18,53,La Liga,110827,Real Oviedo,1000000,45,Spain,1,30,0,1,0,0
-0.5752826380332046,0.30803425259029543,20,16,Ligue 1,65,Lille OSC,1600000,18,France,1,36,0,1,0,0
-1.496644505606748,0.46575351515328306,17,4,Pro League,674,KAA Gent,525000,7,Belgium,0,28,0,0,1,0
-0.7069057619722823,0.46575351515328306,18,16,Ligue 1,64,RC Lens,1300000,8,Bosnia and Herzegovina,1,4,0,1,0,0
-1.2333982577285927,0.30803425259029543,18,16,Ligue 1,72,OGC Nice,625000,103,Cameroon,1,49,0,0,0,1
-0.9701520098504375,0.46575351515328306,20,4,Pro League,1750,Cercle Brugge KSV,975000,108,Côte d'Ivoire,1,90,0,1,1,0
-0.9701520098504375,0.6234727777162706,20,68,Süper Lig,741,Antalyaspor,1100000,48,Türkiye,0,99,0,0,0,1
-1.3650213816676704,-0.16512353509866737,18,10,Eredivisie,1910,NEC Nijmegen,525000,34,Netherlands,1,26,0,0,1,1
-0.8385288859113599,-0.16512353509866737,20,80,Bundesliga,111822,Wolfsberger AC,1000000,51,Serbia,1,2,0,1,1,0
-0.3120363901550493,-0.32284279766165497,24,80,Bundesliga,2017,TSV Hartberg,1500000,4,Austria,1,14,0,1,0,0
